Date,Vehicle type,Number of spaces
01/04/2021,Recycling centre A (cars / small vans),320
01/04/2021,Recycling centre A (medium / large vans),17
01/04/2021,Recycling centre A (pedestrian / bicycle),15
02/04/2021,Recycling centre A (cars / small vans),320
02/04/2021,Recycling centre A (medium / large vans),17
02/04/2021,Recycling centre A (pedestrian / bicycle),15
03/04/2021,Recycling centre A (cars / small vans),320
03/04/2021,Recycling centre A (medium / large vans),17
03/04/2021,Recycling centre A (pedestrian / bicycle),15
06/04/2021,Recycling centre A (cars / small vans),320
06/04/2021,Recycling centre A (medium / large vans),17
06/04/2021,Recycling centre A (pedestrian / bicycle),15
07/04/2021,Recycling centre A (cars / small vans),320
07/04/2021,Recycling centre A (medium / large vans),17
07/04/2021,Recycling centre A (pedestrian / bicycle),15
08/04/2021,Recycling centre A (cars / small vans),320
08/04/2021,Recycling centre A (medium / large vans),17
08/04/2021,Recycling centre A (pedestrian / bicycle),15
09/04/2021,Recycling centre A (cars / small vans),320
09/04/2021,Recycling centre A (medium / large vans),17
09/04/2021,Recycling centre A (pedestrian / bicycle),15
10/04/2021,Recycling centre A (cars / small vans),320
10/04/2021,Recycling centre A (medium / large vans),17
10/04/2021,Recycling centre A (pedestrian / bicycle),15
13/04/2021,Recycling centre A (cars / small vans),320
13/04/2021,Recycling centre A (medium / large vans),17
13/04/2021,Recycling centre A (pedestrian / bicycle),15
14/04/2021,Recycling centre A (cars / small vans),320
14/04/2021,Recycling centre A (medium / large vans),17
14/04/2021,Recycling centre A (pedestrian / bicycle),15
15/04/2021,Recycling centre A (cars / small vans),320
15/04/2021,Recycling centre A (medium / large vans),17
15/04/2021,Recycling centre A (pedestrian / bicycle),15
16/04/2021,Recycling centre A (cars / small vans),320
16/04/2021,Recycling centre A (medium / large vans),17
16/04/2021,Recycling centre A (pedestrian / bicycle),15
17/04/2021,Recycling centre A (cars / small vans),320
17/04/2021,Recycling centre A (medium / large vans),17
17/04/2021,Recycling centre A (pedestrian / bicycle),15
20/04/2021,Recycling centre A (cars / small vans),320
20/04/2021,Recycling centre A (medium / large vans),17
20/04/2021,Recycling centre A (pedestrian / bicycle),15
21/04/2021,Recycling centre A (cars / small vans),320
21/04/2021,Recycling centre A (medium / large vans),17
21/04/2021,Recycling centre A (pedestrian / bicycle),15
22/04/2021,Recycling centre A (cars / small vans),320
22/04/2021,Recycling centre A (medium / large vans),17
22/04/2021,Recycling centre A (pedestrian / bicycle),15
23/04/2021,Recycling centre A (cars / small vans),320
23/04/2021,Recycling centre A (medium / large vans),17
23/04/2021,Recycling centre A (pedestrian / bicycle),15
24/04/2021,Recycling centre A (cars / small vans),320
24/04/2021,Recycling centre A (medium / large vans),17
24/04/2021,Recycling centre A (pedestrian / bicycle),15
27/04/2021,Recycling centre A (cars / small vans),320
27/04/2021,Recycling centre A (medium / large vans),17
27/04/2021,Recycling centre A (pedestrian / bicycle),15
28/04/2021,Recycling centre A (cars / small vans),320
28/04/2021,Recycling centre A (medium / large vans),17
28/04/2021,Recycling centre A (pedestrian / bicycle),15
29/04/2021,Recycling centre A (cars / small vans),320
29/04/2021,Recycling centre A (medium / large vans),17
29/04/2021,Recycling centre A (pedestrian / bicycle),15
30/04/2021,Recycling centre A (cars / small vans),320
30/04/2021,Recycling centre A (medium / large vans),17
30/04/2021,Recycling centre A (pedestrian / bicycle),15
01/05/2021,Recycling centre A (cars / small vans),320
01/05/2021,Recycling centre A (medium / large vans),17
01/05/2021,Recycling centre A (pedestrian / bicycle),15
04/05/2021,Recycling centre A (cars / small vans),320
04/05/2021,Recycling centre A (medium / large vans),17
